1.32,-3.28
5.15,0.08
4.78,-1.28
0.55,2.05
-1.05,-1.18
5.28,-2.15
3.65,2.68
-0.92,-3.42
-3.65,-2.68
-2.78,-2.18
-3.15,-3.55
-3.05,2.28
2.18,-2.78
-1.18,1.05
0.18,0.68
-1.78,-3.92
5.65,-0.78
1.92,1.68
2.05,-0.55
0.95,-4.65
-3.28,-1.32
-1.92,-1.68
-0.45,3.78
1.78,3.92
-4.28,0.42
-4.78,1.28
-0.68,0.18
1.28,4.78
2.55,-1.42
0.32,-1.55
3.42,-0.92
-4.65,-0.95
-3.42,0.92
4.42,-2.65
1.68,-1.92
-4.42,2.65
3.92,-1.78
-2.18,2.78
-2.65,-4.42
3.28,1.32
0.05,2.92
-1.32,3.28
2.68,-3.65
-2.55,1.42
2.42,0.82
1.42,2.55
-1.65,-6.15
1.65,6.15
1.05,1.18
2.65,4.42
-6.15,1.65
3.55,-3.15
4.28,-0.42
-0.08,5.15
4.15,1.82
-5.65,0.78
1.82,-4.15
-0.05,-2.92
3.78,0.45
-1.68,1.92
-0.55,-2.05
6.15,-1.65
-3.92,1.78
-5.15,-0.08
0.45,-3.78
2.78,2.18
-2.92,0.05
3.05,-2.28
1.55,0.32
-1.28,-4.78
0.82,-2.42
-2.15,-5.28
0.42,4.28
2.28,3.05
-0.32,1.55
-3.55,3.15
-5.28,2.15
2.92,-0.05
4.65,0.95
3.15,3.55
-0.18,-0.68
-2.68,3.65
-0.78,-5.65
-0.42,-4.28
-1.55,-0.32
-0.95,4.65
0.68,-0.18
1.18,-1.05
-2.42,-0.82
2.15,5.28
-0.82,2.42
-2.28,-3.05
0.92,3.42
-4.15,-1.82
-1.42,-2.55
0.78,5.65
-3.78,-0.45
-2.05,0.55
-1.82,4.15
0.08,-5.15
