-6.68,6.92
0.28,2.85
-3.68,1.72
-2.35,9.42
-0.72,4.58
-8.92,6.78
-8.55,8.15
-10.28,7.15
-3.18,0.85
-2.32,1.35
-10.15,4.92
-2.58,5.82
-8.78,4.55
-0.35,5.95
-4.68,3.45
-7.05,5.55
1.15,3.35
-3.45,5.32
-4.58,9.28
-10.65,5.78
-6.42,2.45
-7.65,0.58
-1.35,7.68
-5.55,2.95
-6.78,1.08
-7.28,1.95
-5.68,5.18
-7.92,5.05
-5.08,10.15
-2.22,7.18
-4.08,8.42
-5.95,9.65
-6.92,3.32
-2.72,8.05
-2.82,2.22
-4.32,4.82
-4.92,-0.15
-3.32,3.08
-9.28,5.42
-4.22,10.65
-8.65,2.32
-5.42,0.72
-2.95,4.45
-11.15,6.65
-3.08,6.68
-4.55,1.22
-7.55,6.42
-8.15,1.45
-9.78,6.28
-7.15,-0.28
-9.65,4.05
-6.82,9.15
-2.45,3.58
-4.82,5.68
-7.42,4.18
-7.78,2.82
-5.32,6.55
-0.58,2.35
0.15,5.08
-6.65,-1.15
-3.72,9.78
-6.05,3.82
-2.08,4.95
-5.05,2.08
-4.18,2.58
-3.58,7.55
-3.82,3.95
0.65,4.22
-1.08,3.22
-3.35,11.15
-7.18,7.78
-8.42,5.92
-5.92,1.58
-5.78,-0.65
-1.85,8.55
-6.55,4.68
-8.28,3.68
-6.32,8.28
-6.18,6.05
-5.82,7.42
-5.45,8.78
-4.05,0.35
-4.95,7.92
-0.85,6.82
-0.22,3.72
-8.05,7.28
-1.45,1.85
-9.42,7.65
-3.22,8.92
-3.95,6.18
-1.22,5.45
-6.28,0.22
-1.72,6.32
-2.85,10.28
-1.95,2.72
-1.58,4.08
-4.45,7.05
-7.68,8.65
-9.15,3.18
-5.18,4.32
